"19 Jul 2023","19802.95","19851.70","19727.45","19833.15"
"18 Jul 2023","19787.50","19819.45","19690.20","19749.25"
"17 Jul 2023","19612.15","19731.85","19562.95","19711.45"
"14 Jul 2023","19493.45","19595.35","19433.50","19564.50"
"13 Jul 2023","19495.20","19567.00","19385.80","19413.75"
"12 Jul 2023","19497.45","19507.70","19361.75","19384.30"
"11 Jul 2023","19427.10","19515.10","19406.45","19439.40"
"10 Jul 2023","19400.35","19435.85","19327.10","19355.90"
"07 Jul 2023","19422.80","19523.60","19303.60","19331.80"
"06 Jul 2023","19385.70","19512.20","19373.00","19497.30"
"05 Jul 2023","19405.95","19421.60","19339.60","19398.50"
"04 Jul 2023","19406.60","19434.15","19300.00","19389.00"
"03 Jul 2023","19246.50","19345.10","19234.40","19322.55"
"30 Jun 2023","19076.85","19201.70","19024.60","19189.05"
"28 Jun 2023","18908.15","19011.25","18861.35","18972.10"
"27 Jun 2023","18748.55","18829.25","18714.25","18817.40"
"26 Jun 2023","18682.35","18722.05","18646.70","18691.20"
"23 Jun 2023","18741.85","18756.40","18647.10","18665.50"
"22 Jun 2023","18853.60","18886.60","18759.50","18771.25"
"21 Jun 2023","18849.40","18875.90","18794.85","18856.85"
"20 Jun 2023","18752.35","18839.70","18660.65","18816.70"
"19 Jun 2023","18873.30","18881.45","18719.15","18755.45"
"16 Jun 2023","18723.30","18864.70","18710.50","18826.00"
"15 Jun 2023","18774.45","18794.10","18669.05","18688.10"
"14 Jun 2023","18744.60","18769.70","18690.00","18755.90"
"13 Jun 2023","18631.80","18728.90","18631.80","18716.15"
"12 Jun 2023","18595.05","18633.60","18559.75","18601.50"
"09 Jun 2023","18655.90","18676.65","18555.40","18563.40"
"08 Jun 2023","18725.35","18777.90","18615.60","18634.55"
"07 Jun 2023","18665.60","18738.95","18636.00","18726.40"
"06 Jun 2023","18600.80","18622.75","18531.60","18599.00"
"05 Jun 2023","18612.00","18640.15","18582.80","18593.85"
"02 Jun 2023","18550.85","18573.70","18478.40","18534.10"
"01 Jun 2023","18579.40","18580.30","18464.55","18487.75"
"31 May 2023","18594.20","18603.90","18483.85","18534.40"
"30 May 2023","18606.65","18662.45","18575.50","18633.85"
"29 May 2023","18619.15","18641.20","18581.25","18598.65"
"26 May 2023","18368.35","18508.55","18333.15","18499.35"
"25 May 2023","18268.90","18338.10","18202.40","18321.15"
"24 May 2023","18294.80","18392.60","18262.95","18285.40"
